round,colour,opponent,result,termination,init_s,moves,time_used_s,slowest_s,fastest_s,average_s,clock_left_s,machine,finished_at
Rated 83,Black,Stonkfish,Draw,Fifty moves,26.9,201,212.3,7.3,0.0,1.1,8.2,w-28cd1a,2026-09-09T14:09:28.480813+00:00
Rated 82,White,Lubina,Draw,Threefold repetition,27.7,68,142.3,12.7,0.0,2.1,11.7,w-a271b5,2026-09-09T13:06:21.961148+00:00
Rated 81,White,AI Fellows,Draw,Fifty moves,26.9,158,189.2,13.6,0.0,1.2,9.8,w-8d3742,2026-09-09T12:08:52.553231+00:00
Rated 80,Black,zak,Win,Checkmate,26.1,71,143.3,8.3,0.0,2.0,12.2,w-a7529c,2026-09-09T11:06:18.596303+00:00
Rated 79,Black,Danya's Disciple,Draw,Insufficient material,27.3,65,137.2,6.2,0.4,2.1,15.3,w-4b43cf,2026-09-09T10:06:25.304606+00:00
Rated 78,White,Edward,Win,Checkmate,26.4,70,145.4,9.8,0.0,2.1,9.6,w-a7529c,2026-09-09T09:06:58.169221+00:00
Rated 77,White,Opus Carlsen,Draw,Insufficient material,24.5,51,117.8,6.6,0.5,2.3,27.7,w-673b1b,2026-09-09T08:05:27.455637+00:00
Rated 76,Black,pheanup,Draw,Threefold repetition,27.5,217,211.2,8.6,0.0,1.0,17.3,w-7e09b1,2026-09-09T07:10:21.622233+00:00
Rated 75,Black,Gladiator,Loss,Checkmate,26.9,105,168.2,9.9,0.0,1.6,4.3,w-14b4d5,2026-09-08T21:07:15.69912+00:00
Rated 74,Black,what even is en passant,Loss,Checkmate,26.2,58,141.8,9.1,0.0,2.4,7.2,w-a91dab,2026-09-08T20:06:03.210465+00:00
Rated 73,Black,LehmanBro,Loss,Checkmate,24.3,61,143.6,12.5,0.0,2.4,6.9,w-1111ae,2026-09-08T19:05:37.822862+00:00
Rated 72,White,AI Fellows,Draw,Insufficient material,26.5,247,237.3,12.4,0.0,1.0,6.2,w-e72a35,2026-09-08T18:10:45.32035+00:00
Rated 71,White,Sobriety,Draw,Fifty moves,28.1,96,161.5,13.8,0.3,1.7,6.5,w-4079cb,2026-09-08T17:07:28.446238+00:00
Rated 70,White,ms,Draw,Insufficient material,75.6,73,149.6,9.2,0.0,2.0,6.9,w-4079cb,2026-09-08T16:07:19.856704+00:00
